,county_base_geoId,county_similar_geoId,score,countyname_base,countyname_similar
0,0500000US06001,0500000US06007,0.30739512596933766,Alameda County,Butte County
1,0500000US06001,0500000US06013,0.12417440345835146,Alameda County,Contra Costa County
2,0500000US06001,0500000US06017,0.33518143466981615,Alameda County,El Dorado County
3,0500000US06001,0500000US06019,0.22783649905244585,Alameda County,Fresno County
4,0500000US06001,0500000US06023,0.33644231017744997,Alameda County,Humboldt County
5,0500000US06001,0500000US06025,0.33654397089014476,Alameda County,Imperial County
6,0500000US06001,0500000US06029,0.26111842286973175,Alameda County,Kern County
7,0500000US06001,0500000US06031,0.2668623896606587,Alameda County,Kings County
8,0500000US06001,0500000US06033,0.3429622847618464,Alameda County,Lake County
9,0500000US06001,0500000US06037,0.1592231519030373,Alameda County,Los Angeles County
10,0500000US06001,0500000US06039,0.3223103310574737,Alameda County,Madera County
11,0500000US06001,0500000US06041,0.2552714116226519,Alameda County,Marin County
12,0500000US06001,0500000US06045,0.3428398616803389,Alameda County,Mendocino County
13,0500000US06001,0500000US06047,0.24100863822497298,Alameda County,Merced County
14,0500000US06001,0500000US06053,0.24726168996766715,Alameda County,Monterey County
15,0500000US06001,0500000US06055,0.27015461928407813,Alameda County,Napa County
16,0500000US06001,0500000US06057,0.3805727693435793,Alameda County,Nevada County
17,0500000US06001,0500000US06059,0.18637226810788324,Alameda County,Orange County
18,0500000US06001,0500000US06061,0.29714049501695233,Alameda County,Placer County
19,0500000US06001,0500000US06065,0.22903434386826974,Alameda County,Riverside County
20,0500000US06001,0500000US06067,0.10989627265691393,Alameda County,Sacramento County
21,0500000US06001,0500000US06071,0.2146497403669109,Alameda County,San Bernardino County
22,0500000US06001,0500000US06073,0.18400702291577772,Alameda County,San Diego County
23,0500000US06001,0500000US06075,0.09406974766158059,Alameda County,San Francisco County
24,0500000US06001,0500000US06077,0.12352518808352825,Alameda County,San Joaquin County
25,0500000US06001,0500000US06079,0.2999199966479748,Alameda County,San Luis Obispo County
26,0500000US06001,0500000US06081,0.13799595671071602,Alameda County,San Mateo County
27,0500000US06001,0500000US06083,0.27438493370631717,Alameda County,Santa Barbara County
28,0500000US06001,0500000US06085,0.13174587713336694,Alameda County,Santa Clara County
29,0500000US06001,0500000US06087,0.30044075679936255,Alameda County,Santa Cruz County
30,0500000US06001,0500000US06089,0.34448668020524664,Alameda County,Shasta County
31,0500000US06001,0500000US06095,0.09107735806394257,Alameda County,Solano County
32,0500000US06001,0500000US06097,0.29317143638001447,Alameda County,Sonoma County
33,0500000US06001,0500000US06099,0.25547674926733116,Alameda County,Stanislaus County
34,0500000US06001,0500000US06101,0.1722758674606219,Alameda County,Sutter County
35,0500000US06001,0500000US06107,0.3083096382399631,Alameda County,Tulare County
36,0500000US06001,0500000US06111,0.255360096123094,Alameda County,Ventura County
